YEAR,MONTH,COMMODITY,"WEIGHT, KG PER BAG"," PRICE, ¢ GH"
1993,JULY,COCOYAM,91,14359
1993,AUGUST,COCOYAM,91,14267
1993,SEPTEMBER,COCOYAM,91,14338
1993,OCTOBER,COCOYAM,91,12397
1993,NOVEMBER,COCOYAM,91,12688
1993,DECEMBER,COCOYAM,91,11483
1994,JANUARY,COCOYAM,91,10880
1994,FEBRUARY,COCOYAM,91,11427
1994,MARCH,COCOYAM,91,11504
1994,APRIL,COCOYAM,91,12903
1994,MAY,COCOYAM,91,13833
1994,JUNE,COCOYAM,91,14979
1994,JULY,COCOYAM,91,16570
1994,AUGUST,COCOYAM,91,18508
1994,SEPTEMBER,COCOYAM,91,17053
1994,OCTOBER,COCOYAM,91,16324
1994,NOVEMBER,COCOYAM,91,24411
1994,DECEMBER,COCOYAM,91,23815
1995,JANUARY,COCOYAM,91,20120
1995,FEBRUARY,COCOYAM,91,20379
1995,MARCH,COCOYAM,91,21968
1995,APRIL,COCOYAM,91,25070
1995,MAY,COCOYAM,91,27826
1995,JUNE,COCOYAM,91,32697
1995,JULY,COCOYAM,91,32629
1995,AUGUST,COCOYAM,91,28804
1995,SEPTEMBER,COCOYAM,91,30428
1995,OCTOBER,COCOYAM,91,28506
1995,NOVEMBER,COCOYAM,91,26799
1995,DECEMBER,COCOYAM,91,24923
1996,JANUARY,COCOYAM,91,27419
1996,FEBRUARY,COCOYAM,91,25024
1996,MARCH,COCOYAM,91,25134
1996,APRIL,COCOYAM,91,22706
1996,MAY,COCOYAM,91,23236
1996,JUNE,COCOYAM,91,25538
1996,JULY,COCOYAM,91,24604
1996,AUGUST,COCOYAM,91,24814
1996,SEPTEMBER,COCOYAM,91,23930
1996,OCTOBER,COCOYAM,91,25576
1996,NOVEMBER,COCOYAM,91,28125
1996,DECEMBER,COCOYAM,91,27505
1997,JANUARY,COCOYAM,91,28470
1997,FEBRUARY,COCOYAM,91,30346
1997,MARCH,COCOYAM,91,31516
1997,APRIL,COCOYAM,91,32751
1997,MAY,COCOYAM,91,37402
1997,JUNE,COCOYAM,91,41771
1997,JULY,COCOYAM,91,44882
1997,AUGUST,COCOYAM,91,47147
1997,SEPTEMBER,COCOYAM,91,52840
1997,OCTOBER,COCOYAM,91,56865
1997,NOVEMBER,COCOYAM,91,47871
1997,DECEMBER,COCOYAM,91,55798
1998,JANUARY,COCOYAM,91,57261
1998,FEBRUARY,COCOYAM,91,51210
1998,MARCH,COCOYAM,91,53142
1998,APRIL,COCOYAM,91,66462
1998,MAY,COCOYAM,91,68235
1998,JUNE,COCOYAM,91,56920
1998,JULY,COCOYAM,91,56120
1998,AUGUST,COCOYAM,91,63080
1998,SEPTEMBER,COCOYAM,91,64400
1998,OCTOBER,COCOYAM,91,66800
1998,NOVEMBER,COCOYAM,91,63750
1998,DECEMBER,COCOYAM,91,63888
1998,JANUARY,COCOYAM,91,59544
1999,FEBRUARY,COCOYAM,91,57424
1999,MARCH,COCOYAM,91,50946
1999,APRIL,COCOYAM,91,54132
1999,MAY,COCOYAM,91,60416
1999,JUNE,COCOYAM,91,44121
1999,JULY,COCOYAM,91,52857
1999,AUGUST,COCOYAM,91,53045
1999,SEPTEMBER,COCOYAM,91,55437
1999,OCTOBER,COCOYAM,91,56049
1999,NOVEMBER,COCOYAM,91,59009
1999,DECEMBER,COCOYAM,91,63230
2000,JANUARY,COCOYAM,91,56241
2000,FEBRUARY,COCOYAM,91,57767
2000,MARCH,COCOYAM,91,60588
2000,APRIL,COCOYAM,91,64141
2000,MAY,COCOYAM,91,68286
2000,JUNE,COCOYAM,91,81447
2000,JULY,COCOYAM,91,82456
2000,AUGUST,COCOYAM,91,75485
2000,SEPTEMBER,COCOYAM,91,77574
2000,OCTOBER,COCOYAM,91,73187
2000,NOVEMBER,COCOYAM,91,73794
2000,DECEMBER,COCOYAM,91,71814
2001,JANUARY,COCOYAM,91,74797
2001,FEBRUARY,COCOYAM,91,81111
2001,MARCH,COCOYAM,91,83137
2001,APRIL,COCOYAM,91,90597
2001,MAY,COCOYAM,91,92581
2001,JUNE,COCOYAM,91,108149
2001,JULY,COCOYAM,91,103760
2001,AUGUST,COCOYAM,91,125000
2001,SEPTEMBER,COCOYAM,91,109500
2001,OCTOBER,COCOYAM,91,100125
2001,NOVEMBER,COCOYAM,91,101167
2001,DECEMBER,COCOYAM,91,110063
2002,JANUARY,COCOYAM,91,117104
2002,FEBRUARY,COCOYAM,91,123583
2002,MARCH,COCOYAM,91,117340
2002,APRIL,COCOYAM,91,128061
2002,MAY,COCOYAM,91,125872
2002,JUNE,COCOYAM,91,139286
2002,JULY,COCOYAM,91,149529
2002,AUGUST,COCOYAM,91,138132
2002,SEPTEMBER,COCOYAM,91,132775
2002,OCTOBER,COCOYAM,91,129024
2002,NOVEMBER,COCOYAM,91,123761
2002,DECEMBER,COCOYAM,91,123430
2003,JANUARY,COCOYAM,91,118546
2003,FEBRUARY,COCOYAM,91,115540
2003,MARCH,COCOYAM,91,123977
2003,APRIL,COCOYAM,91,124118
2003,MAY,COCOYAM,91,117651
2003,JUNE,COCOYAM,91,134617
2003,JULY,COCOYAM,91,128466
2003,AUGUST,COCOYAM,91,138262
2003,SEPTEMBER,COCOYAM,91,134692
2003,OCTOBER,COCOYAM,91,134518
2003,NOVEMBER,COCOYAM,91,138904
2003,DECEMBER,COCOYAM,91,134343
2004,JANUARY,COCOYAM,91,150006
2004,FEBRUARY,COCOYAM,91,142998
2004,MARCH,COCOYAM,91,143545
2004,APRIL,COCOYAM,91,152298
2004,MAY,COCOYAM,91,166890
2004,JUNE,COCOYAM,91,169767
2004,JULY,COCOYAM,91,197575
2004,AUGUST,COCOYAM,91,206880
2004,SEPTEMBER,COCOYAM,91,180179
2004,OCTOBER,COCOYAM,91,166000
2004,NOVEMBER,COCOYAM,91,168000
2004,DECEMBER,COCOYAM,91,179000
2005,JANUARY,COCOYAM,91,181470
2005,FEBRUARY,COCOYAM,91,171450
2005,MARCH,COCOYAM,91,178330
2005,APRIL,COCOYAM,91,201800
2005,MAY,COCOYAM,91,207970
2005,JUNE,COCOYAM,91,221930
2005,JULY,COCOYAM,91,226590
2005,AUGUST,COCOYAM,91,230970
2005,SEPTEMBER,COCOYAM,91,230800
2005,OCTOBER,COCOYAM,91,214560
2005,NOVEMBER,COCOYAM,91,194260
2005,DECEMBER,COCOYAM,91,232518
2006,JANUARY,COCOYAM,91,229620
2006,FEBRUARY,COCOYAM,91,218690
2006,MARCH,COCOYAM,91,216790
2006,APRIL,COCOYAM,91,211160
2006,MAY,COCOYAM,91,324300
2006,JUNE,COCOYAM,91,234300
2006,JULY,COCOYAM,91,234260
2006,AUGUST,COCOYAM,91,244600
2006,SEPTEMBER,COCOYAM,91,219853
2006,OCTOBER,COCOYAM,91,227800
2006,NOVEMBER,COCOYAM,91,231985
2006,DECEMBER,COCOYAM,91,236766
2007,JANUARY,COCOYAM,91,25.42
2007,FEBRUARY,COCOYAM,91,25.09
2007,MARCH,COCOYAM,91,20.66
2007,APRIL,COCOYAM,91,24.48
2007,MAY,COCOYAM,91,26.25
2007,JUNE,COCOYAM,91,30.53
2007,JULY,COCOYAM,91,31.41
2007,AUGUST,COCOYAM,91,29.53
2007,SEPTEMBER,COCOYAM,91,38.59
2007,OCTOBER,COCOYAM,91,29.99
2007,NOVEMBER,COCOYAM,91,28.79
2007,DECEMBER,COCOYAM,91,29.54
2008,JANUARY,COCOYAM,91,28.55
2008,FEBRUARY,COCOYAM,91,27.75
2008,MARCH,COCOYAM,91,26.96
2008,APRIL,COCOYAM,91,28.27
2008,MAY,COCOYAM,91,31.95
2008,JUNE,COCOYAM,91,31.94
2008,JULY,COCOYAM,91,33.31
2008,AUGUST,COCOYAM,91,32.35
2008,SEPTEMBER,COCOYAM,91,34.53
2008,OCTOBER,COCOYAM,91,39.14
2008,NOVEMBER,COCOYAM,91,36.43
2008,DECEMBER,COCOYAM,91,37.04
2009,JANUARY,COCOYAM,91,34.07
2009,FEBRUARY,COCOYAM,91,34.16
2009,MARCH,COCOYAM,91,33.68
2009,APRIL,COCOYAM,91,34.78
2009,MAY,COCOYAM,91,35.78
2009,JUNE,COCOYAM,91,40.81
2009,JULY,COCOYAM,91,38.86
2009,AUGUST,COCOYAM,91,35.85
2009,SEPTEMBER,COCOYAM,91,39.98
2009,OCTOBER,COCOYAM,91,40.3
2009,NOVEMBER,COCOYAM,91,40.55
2009,DECEMBER,COCOYAM,91,40.12
2010,JANUARY,COCOYAM,91,42.53
2010,FEBRUARY,COCOYAM,91,41.67
2010,MARCH,COCOYAM,91,41.12
2010,APRIL,COCOYAM,91,47.76
2010,MAY,COCOYAM,91,46.52
2010,JUNE,COCOYAM,91,48.61
2010,JULY,COCOYAM,91,50.38
2010,AUGUST,COCOYAM,91,49.35
2010,SEPTEMBER,COCOYAM,91,46.99
2010,OCTOBER,COCOYAM,91,48.51
2010,NOVEMBER,COCOYAM,91,48.41
2010,DECEMBER,COCOYAM,91,57.57
2011,JANUARY,COCOYAM,91,54
2011,FEBRUARY,COCOYAM,91,53.72
2011,MARCH,COCOYAM,91,51
2011,APRIL,COCOYAM,91,52.45
2011,MAY,COCOYAM,91,57.79
2011,JUNE,COCOYAM,91,61.95
2011,JULY,COCOYAM,91,60.92
2011,AUGUST,COCOYAM,91,58.39
2011,SEPTEMBER,COCOYAM,91,57.6
2011,OCTOBER,COCOYAM,91,52.33
2011,NOVEMBER,COCOYAM,91,54.6
2011,DECEMBER,COCOYAM,91,55.72
2012,JANUARY,COCOYAM,91,61.74
2012,FEBRUARY,COCOYAM,91,64.76
2012,MARCH,COCOYAM,91,61.87
2012,APRIL,COCOYAM,91,57.3
2012,MAY,COCOYAM,91,73.97
2012,JUNE,COCOYAM,91,80.8
2012,JULY,COCOYAM,91,84.3
2012,AUGUST,COCOYAM,91,83.42
2012,SEPTEMBER,COCOYAM,91,82.44
2012,OCTOBER,COCOYAM,91,84.4
2012,NOVEMBER,COCOYAM,91,86.7
2012,DECEMBER,COCOYAM,91,87.5
2013,JANUARY,COCOYAM,91,91.74
2013,FEBRUARY,COCOYAM,91,104.52
2013,MARCH,COCOYAM,91,103.1
2013,APRIL,COCOYAM,91,102.85
2013,MAY,COCOYAM,91,105.1
2013,JUNE,COCOYAM,91,118.64
2013,JULY,COCOYAM,91,118.4
2013,AUGUST,COCOYAM,91,124.43
2013,SEPTEMBER,COCOYAM,91,108.54
2013,OCTOBER,COCOYAM,91,106.7
2013,NOVEMBER,COCOYAM,91,89.44
2013,DECEMBER,COCOYAM,91,114.24
2013,JANUARY,COCOYAM,91,107.93
2014,FEBRUARY,COCOYAM,91,102.39
2014,MARCH,COCOYAM,91,107.77
2014,APRIL,COCOYAM,91,114.49
2014,MAY,COCOYAM,91,113.8
2014,JUNE,COCOYAM,91,122.25
2014,JULY,COCOYAM,91,122.81
2014,AUGUST,COCOYAM,91,125.35
2014,SEPTEMBER,COCOYAM,91,121.2
2014,OCTOBER,COCOYAM,91,124.86
2014,NOVEMBER,COCOYAM,91,146.93
2014,DECEMBER,COCOYAM,91,125.05
2015,JANUARY,COCOYAM,91,131.18
2015,FEBRUARY,COCOYAM,91,140.41
2015,MARCH,COCOYAM,91,114.17
2015,APRIL,COCOYAM,91,137.9
2015,MAY,COCOYAM,91,140.4
2015,JUNE,COCOYAM,91,140.12
2015,JULY,COCOYAM,91,146.57
2015,AUGUST,COCOYAM,91,148.3
2015,SEPTEMBER,COCOYAM,91,131.2
2015,OCTOBER,COCOYAM,91,125.27
2015,NOVEMBER,COCOYAM,91,156.74
2015,DECEMBER,COCOYAM,91,148.98
2016,JANUARY,COCOYAM,91,145.01
2016,FEBRUARY,COCOYAM,91,166.03
2016,MARCH,COCOYAM,91,164.33
2016,APRIL,COCOYAM,91,215.65
2016,MAY,COCOYAM,91,248.78
2016,JUNE,COCOYAM,91,229.63
2016,JULY,COCOYAM,91,244.35
2016,AUGUST,COCOYAM,91,215.61
2016,SEPTEMBER,COCOYAM,91,209.91
2016,OCTOBER,COCOYAM,91,210.83
2016,NOVEMBER,COCOYAM,91,194.02
2016,DECEMBER,COCOYAM,91,182.85
2017,JANUARY,COCOYAM,91,197.58
2017,FEBRUARY,COCOYAM,91,194.07
2017,MARCH,COCOYAM,91,197.92
2017,APRIL,COCOYAM,91,202.72
2017,MAY,COCOYAM,91,239.59
2017,JUNE,COCOYAM,91,219.08
2017,JULY,COCOYAM,91,196.04
2017,AUGUST,COCOYAM,91,208.95
2017,SEPTEMBER,COCOYAM,91,193.72
2017,OCTOBER,COCOYAM,91,210.27
2017,NOVEMBER,COCOYAM,91,197.45
2017,DECEMBER,COCOYAM,91,195.17
