REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
ASHANTI,AMANSIE WEST,2000,YAM, 726.00 , 10.71 ," 7,772.00 "
ASHANTI,EJURA SEKYEREDUMASE,2000,YAM," 7,047.00 ", 14.17 ," 99,830.00 "
ASHANTI,SEKYERE WEST ,2000,YAM," 4,687.00 ", 12.84 ," 60,188.00 "
ASHANTI,SEKYERE EAST,2000,YAM," 1,559.00 ", 13.39 ," 20,871.00 "
ASHANTI,AFIGYA SEKYERE,2000,YAM, 48.00 , 11.29 , 542.00 
ASHANTI,AHAFO ANO NORTH,2000,YAM, 66.00 , 10.12 , 668.00 
ASHANTI,AHAFO ANO SOUTH,2000,YAM, 20.00 , 11.80 , 236.00 
ASHANTI,ATWIMA,2000,YAM," 1,156.00 ", 11.56 ," 13,364.00 "
ASHANTI,EJUSU JUABEN,2000,YAM, 134.00 , 9.91 ," 1,328.00 "
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2000,YAM, 627.00 , 9.74 ," 6,105.00 "
ASHANTI,KWABRE ,2000,YAM, 97.00 , 8.26 , 801.00 
ASHANTI,OFFINSO,2000,YAM, 215.00 , 11.94 ," 2,568.00 "
ASHANTI,ADANSI WEST,2000,YAM, 215.00 , 4.86 ," 1,044.00 "
ASHANTI,ADANSI  SOUTH,2000,YAM, 214.00 , 9.89 ," 2,116.00 "
ASHANTI,ASANTE AKIM NORTH,2000,YAM, 223.00 , 10.09 ," 2,249.00 "
ASHANTI,ASANTE AKIM SOUTH,2000,YAM, 130.00 , 10.09 ," 1,312.00 "
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2000,YAM, 437.00 , 7.70 ," 3,366.00 "
EASTERN,BIRIM SOUTH,2000,MAIZE," 10,000.00 ", 1.60 ," 16,000.00 "
EASTERN,WEST AKIM,2000,MAIZE," 9,900.00 ", 1.60 ," 15,840.00 "
EASTERN,SUHUM KRABOA COALTAR,2000,MAIZE," 9,000.00 ", 1.60 ," 14,400.00 "
EASTERN,AKUAPIM SOUTH,2000,MAIZE," 7,000.00 ", 1.60 ," 11,200.00 "
EASTERN,AKUAPIM NORTH,2000,MAIZE," 10,250.00 ", 1.60 ," 16,400.00 "
EASTERN,NEW JUABEN,2000,MAIZE," 5,200.00 ", 1.60 ," 8,320.00 "
EASTERN,YILO KROBO,2000,MAIZE," 10,500.00 ", 1.70 ," 17,850.00 "
EASTERN,EAST AKIM,2000,MAIZE," 7,100.00 ", 1.70 ," 12,070.00 "
EASTERN,KWAEBIBIREM,2000,MAIZE," 7,200.00 ", 1.60 ," 11,520.00 "
EASTERN,BIRIM NORTH,2000,MAIZE," 6,300.00 ", 1.70 ," 10,710.00 "
EASTERN,KWAHU SOUTH,2000,MAIZE," 10,000.00 ", 1.70 ," 17,000.00 "
EASTERN,FANTEAKWA,2000,MAIZE," 11,600.00 ", 1.70 ," 19,720.00 "
EASTERN,KWAHU NORTH,2000,MAIZE," 25,650.00 ", 1.60 ," 41,040.00 "
EASTERN,ASUOGYAMAN,2000,MAIZE," 8,000.00 ", 1.60 ," 12,800.00 "
EASTERN,MANYA KROBO,2000,MAIZE," 10,700.00 ", 1.60 ," 17,120.00 "
EASTERN,BIRIM SOUTH,2000,RICE," 4,800.00 ", 2.00 ," 9,600.00 "
EASTERN,YILO KROBO,2000,RICE, 200.00 , 2.00 , 400.00 
EASTERN,EAST AKIM,2000,RICE, 300.00 , 2.00 , 600.00 
EASTERN,KWAEBIBIREM,2000,RICE," 1,500.00 ", 2.10 ," 3,150.00 "
EASTERN,BIRIM NORTH,2000,RICE," 4,500.00 ", 2.00 ," 9,000.00 "
EASTERN,ASUOGYAMAN,2000,RICE, 500.00 , 1.70 , 850.00 
EASTERN,MANYA KROBO,2000,RICE, 500.00 , 2.00 ," 1,000.00 "
EASTERN,BIRIM SOUTH,2000,CASSAVA," 14,000.00 ", 12.90 ," 180,600.00 "
EASTERN,WEST AKIM,2000,CASSAVA," 12,100.00 ", 12.40 ," 150,040.00 "
EASTERN,SUHUM KRABOA COALTAR,2000,CASSAVA," 10,200.00 ", 12.60 ," 128,520.00 "
EASTERN,AKUAPIM SOUTH,2000,CASSAVA," 9,500.00 ", 10.10 ," 95,950.00 "
EASTERN,AKUAPIM NORTH,2000,CASSAVA," 10,900.00 ", 10.10 ," 110,090.00 "
EASTERN,NEW JUABEN,2000,CASSAVA," 4,000.00 ", 10.00 ," 40,000.00 "
EASTERN,YILO KROBO,2000,CASSAVA," 10,800.00 ", 11.40 ," 123,120.00 "
EASTERN,EAST AKIM,2000,CASSAVA," 8,500.00 ", 9.90 ," 84,150.00 "
EASTERN,KWAEBIBIREM,2000,CASSAVA," 7,800.00 ", 10.10 ," 78,780.00 "
EASTERN,BIRIM NORTH,2000,CASSAVA," 9,000.00 ", 10.40 ," 93,600.00 "
EASTERN,KWAHU SOUTH,2000,CASSAVA," 9,900.00 ", 11.10 ," 109,890.00 "
EASTERN,FANTEAKWA,2000,CASSAVA," 13,800.00 ", 13.00 ," 179,400.00 "
EASTERN,KWAHU NORTH,2000,CASSAVA," 9,000.00 ", 10.40 ," 93,600.00 "
EASTERN,ASUOGYAMAN,2000,CASSAVA," 10,500.00 ", 12.90 ," 135,450.00 "
EASTERN,MANYA KROBO,2000,CASSAVA," 10,000.00 ", 12.60 ," 126,000.00 "
EASTERN,BIRIM SOUTH,2000,YAM, 900.00 , 15.90 ," 14,310.00 "
EASTERN,WEST AKIM,2000,YAM, 600.00 , 14.27 ," 8,562.00 "
EASTERN,SUHUM KRABOA COALTAR,2000,YAM, 300.00 , 14.27 ," 4,281.00 "
EASTERN,AKUAPIM SOUTH,2000,YAM, 500.00 , 9.60 ," 4,800.00 "
EASTERN,AKUAPIM NORTH,2000,YAM, 400.00 , 9.60 ," 3,840.00 "
EASTERN,NEW JUABEN,2000,YAM, 260.00 , 9.60 ," 2,496.00 "
EASTERN,YILO KROBO,2000,YAM, 900.00 , 10.38 ," 9,342.00 "
EASTERN,EAST AKIM,2000,YAM, 500.00 , 9.67 ," 4,835.00 "
EASTERN,KWAEBIBIREM,2000,YAM, 450.00 , 12.60 ," 5,670.00 "
EASTERN,BIRIM NORTH,2000,YAM, 450.00 , 10.10 ," 4,545.00 "
EASTERN,KWAHU SOUTH,2000,YAM," 1,500.00 ", 17.60 ," 26,400.00 "
EASTERN,FANTEAKWA,2000,YAM," 1,800.00 ", 14.40 ," 25,920.00 "
EASTERN,KWAHU NORTH,2000,YAM," 23,840.00 ", 18.55 ," 442,232.00 "
EASTERN,ASUOGYAMAN,2000,YAM, 800.00 , 13.85 ," 11,080.00 "
EASTERN,MANYA KROBO,2000,YAM, 900.00 , 15.60 ," 14,040.00 "
BRONG AHAFO, SUNYANI MUNICIPAL ,2000,MAIZE," 9,542.00 ", 1.64 ," 15,627.00 "
BRONG AHAFO,ASUTIFI,2000,MAIZE," 5,272.00 ", 1.19 ," 6,300.00 "
BRONG AHAFO, WENCHI MUNICIPAL ,2000,MAIZE," 6,257.00 ", 0.95 ," 5,963.00 "
BRONG AHAFO,DORMA AHENKRO,2000,MAIZE," 13,066.00 ", 1.66 ," 21,644.00 "
BRONG AHAFO,BEREKUM,2000,MAIZE," 5,774.00 ", 1.40 ," 8,084.00 "
BRONG AHAFO,TANO,2000,MAIZE," 5,947.00 ", 1.90 ," 11,299.00 "
BRONG AHAFO,SENE,2000,MAIZE," 1,145.00 ", 0.95 ," 1,092.00 "
BRONG AHAFO,NKORANZA,2000,MAIZE," 8,957.00 ", 2.49 ," 22,280.00 "
BRONG AHAFO,TECHIMAN MUNICIPAL,2000,MAIZE," 6,973.00 ", 2.15 ," 14,977.00 "
BRONG AHAFO,ASUNAFO,2000,MAIZE," 6,210.00 ", 1.89 ," 11,726.00 "
BRONG AHAFO,JAMAN,2000,MAIZE," 6,669.00 ", 1.70 ," 11,338.00 "
BRONG AHAFO,KINTAMPO,2000,MAIZE," 15,844.00 ", 1.90 ," 30,138.00 "
BRONG AHAFO,ATEBUBU,2000,MAIZE," 3,142.00 ", 1.86 ," 5,858.00 "
BRONG AHAFO,ASUTIFI,2000,RICE, 142.00 , 1.09 , 155.00 
BRONG AHAFO,DORMA AHENKRO,2000,RICE," 1,061.00 ", 0.90 , 954.00 
BRONG AHAFO,TANO,2000,RICE, 210.00 , 2.00 , 420.00 
BRONG AHAFO,SENE,2000,RICE," 1,553.00 ", 0.70 ," 1,087.00 "
BRONG AHAFO,ASUNAFO,2000,RICE, 189.00 , 1.10 , 208.00 
BRONG AHAFO,KINTAMPO,2000,RICE, 53.00 , 0.60 , 32.00 
BRONG AHAFO,ATEBUBU,2000,RICE," 1,449.00 ",, -   
BRONG AHAFO, SUNYANI MUNICIPAL ,2000,CASSAVA," 7,313.00 ", 10.70 ," 78,251.00 "
BRONG AHAFO,ASUTIFI,2000,CASSAVA," 9,051.00 ", 16.10 ," 145,721.00 "
BRONG AHAFO, WENCHI MUNICIPAL ,2000,CASSAVA," 7,035.00 ", 13.50 ," 94,973.00 "
BRONG AHAFO,DORMA AHENKRO,2000,CASSAVA," 9,560.00 ", 15.40 ," 147,179.00 "
BRONG AHAFO,BEREKUM,2000,CASSAVA," 5,376.00 ", 12.20 ," 65,587.00 "
BRONG AHAFO,TANO,2000,CASSAVA," 4,725.00 ", 15.51 ," 73,263.00 "
BRONG AHAFO,SENE,2000,CASSAVA," 19,528.00 ", 12.60 ," 246,052.00 "
BRONG AHAFO,NKORANZA,2000,CASSAVA," 3,675.00 ", 16.50 ," 60,638.00 "
BRONG AHAFO,TECHIMAN MUNICIPAL,2000,CASSAVA," 6,253.00 ", 12.50 ," 78,159.00 "
BRONG AHAFO,ASUNAFO,2000,CASSAVA," 13,493.00 ", 16.00 ," 215,880.00 "
BRONG AHAFO,JAMAN,2000,CASSAVA," 4,578.00 ", 15.38 ," 70,421.00 "
BRONG AHAFO,KINTAMPO,2000,CASSAVA," 5,815.00 ", 16.90 ," 98,272.00 "
BRONG AHAFO,ATEBUBU,2000,CASSAVA," 30,062.00 ", 10.91 ," 328,087.00 "
BRONG AHAFO, SUNYANI MUNICIPAL ,2000,YAM, 138.00 , 15.31 ," 2,113.00 "
BRONG AHAFO,ASUTIFI,2000,YAM, 111.00 , 14.70 ," 1,632.00 "
BRONG AHAFO, WENCHI MUNICIPAL ,2000,YAM," 7,689.00 ", 7.54 ," 57,967.00 "
BRONG AHAFO,DORMA AHENKRO,2000,YAM, 437.00 , 10.09 ," 4,408.00 "
BRONG AHAFO,BEREKUM,2000,YAM, 509.00 , 6.26 ," 3,184.00 "
BRONG AHAFO,TANO,2000,YAM, 180.00 , 8.39 ," 1,510.00 "
BRONG AHAFO,SENE,2000,YAM," 18,086.00 ", 17.99 ," 325,389.00 "
BRONG AHAFO,NKORANZA,2000,YAM," 6,109.00 ", 16.05 ," 98,046.00 "
BRONG AHAFO,TECHIMAN MUNICIPAL,2000,YAM," 10,160.00 ", 17.84 ," 181,209.00 "
BRONG AHAFO,ASUNAFO,2000,YAM, 85.00 , 13.42 ," 1,141.00 "
BRONG AHAFO,JAMAN,2000,YAM," 8,357.00 ", 24.10 ," 201,428.00 "
BRONG AHAFO,KINTAMPO,2000,YAM," 12,042.00 ", 15.40 ," 185,440.00 "
BRONG AHAFO,ATEBUBU,2000,YAM," 31,877.00 ", 11.58 ," 368,996.00 "
UPPER WEST,WA,2000,MAIZE," 11,100.00 ", 1.80 ," 19,980.00 "
UPPER WEST,LAWRA,2000,MAIZE," 2,200.00 ", 0.70 ," 1,540.00 "
UPPER WEST,TUMU,2000,MAIZE," 8,369.00 ", 1.70 ," 14,227.00 "
UPPER WEST,JIRAPA,2000,MAIZE," 3,475.00 ", 1.79 ," 6,225.00 "
UPPER WEST,NADOWLI,2000,MAIZE," 9,835.00 ", 1.50 ," 14,753.00 "
UPPER WEST,WA,2000,RICE," 2,150.00 ", 2.50 ," 5,375.00 "
UPPER WEST,TUMU,2000,RICE, 356.00 , 2.00 , 712.00 
UPPER WEST,JIRAPA,2000,RICE," 1,597.00 ", 2.00 ," 3,194.00 "
UPPER WEST,WA,2000,YAM," 11,350.00 ", 12.00 ," 136,200.00 "
UPPER WEST,TUMU,2000,YAM," 5,883.00 ", 12.00 ," 70,596.00 "
UPPER WEST,JIRAPA,2000,YAM," 1,500.00 ", 9.00 ," 13,500.00 "
UPPER WEST,NADOWLI,2000,YAM," 3,920.00 ", 11.00 ," 43,120.00 "
UPPER EAST,BUILSA,2000,MAIZE, 666.00 , 0.95 , 632.00 
UPPER EAST,KASINA-NANKANA,2000,MAIZE, 500.00 , 0.60 , 300.00 
UPPER EAST,BOLGATANGA MUNICIPAL,2000,MAIZE," 4,600.00 ", 1.50 ," 6,900.00 "
UPPER EAST,BAWKU EAST,2000,MAIZE," 4,000.00 ", 2.00 ," 8,000.00 "
UPPER EAST,BAWKU WEST,2000,MAIZE, 700.00 , 0.64 , 448.00 
UPPER EAST,BUILSA,2000,RICE," 8,786.00 ", 1.90 ," 16,693.00 "
UPPER EAST,KASINA-NANKANA,2000,RICE," 10,000.00 ", 1.60 ," 16,000.00 "
UPPER EAST,BONGO,2000,RICE, 385.00 , 1.80 , 693.00 
UPPER EAST,BOLGATANGA MUNICIPAL,2000,RICE," 4,900.00 ", 2.50 ," 12,250.00 "
UPPER EAST,BAWKU EAST,2000,RICE," 5,310.00 ", 3.00 ," 15,930.00 "
UPPER EAST,BAWKU WEST,2000,RICE," 2,040.00 ", 1.87 ," 3,813.00 "
WESTERN,SHAMA AHANTA EAST,2000,COCOYAM, 117.00 , 4.05 , 474.00 
WESTERN,WEST AHANTA,2000,COCOYAM, 109.00 , 4.00 , 436.00 
WESTERN,MPORHOR WASSA EAST,2000,COCOYAM," 1,194.00 ", 5.30 ," 6,328.00 "
WESTERN,WASSA WEST,2000,COCOYAM, 747.00 , 4.96 ," 3,705.00 "
WESTERN,EAST NZEMA,2000,COCOYAM, 75.00 , 4.05 , 304.00 
WESTERN,JOMORO,2000,COCOYAM, 53.00 , 3.74 , 198.00 
WESTERN,WASSA AMENFI,2000,COCOYAM," 5,935.00 ", 5.65 ," 33,533.00 "
WESTERN,AOWIN -SUAMAN,2000,COCOYAM," 6,800.00 ", 5.86 ," 39,848.00 "
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2000,COCOYAM," 6,429.00 ", 5.83 ," 37,481.00 "
WESTERN,SEFWI-WIAWSO,2000,COCOYAM," 7,632.00 ", 6.06 ," 46,250.00 "
WESTERN,JUABESO-BIA,2000,COCOYAM," 8,136.00 ", 6.22 ," 50,606.00 "
WESTERN,SHAMA AHANTA EAST,2000,PLANTAIN, 220.00 , 4.60 ," 1,012.00 "
WESTERN,WEST AHANTA,2000,PLANTAIN, 183.00 , 4.70 , 860.00 
WESTERN,MPORHOR WASSA EAST,2000,PLANTAIN," 1,646.00 ", 6.34 ," 10,436.00 "
WESTERN,WASSA WEST,2000,PLANTAIN," 1,108.00 ", 5.32 ," 5,895.00 "
WESTERN,EAST NZEMA,2000,PLANTAIN, 232.00 , 4.98 ," 1,155.00 "
WESTERN,JOMORO,2000,PLANTAIN, 171.00 , 5.10 , 872.00 
WESTERN,WASSA AMENFI,2000,PLANTAIN," 9,665.00 ", 7.20 ," 69,588.00 "
WESTERN,AOWIN -SUAMAN,2000,PLANTAIN," 8,020.00 ", 7.20 ," 57,744.00 "
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2000,PLANTAIN," 9,015.00 ", 7.40 ," 66,711.00 "
WESTERN,SEFWI-WIAWSO,2000,PLANTAIN," 11,701.00 ", 7.70 ," 90,098.00 "
WESTERN,JUABESO-BIA,2000,PLANTAIN," 12,087.00 ", 8.29 ," 100,201.00 "
CENTRAL,UPPER DENKYIRA,2000,COCOYAM," 6,129.00 ", 4.87 ," 29,872.00 "
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2000,COCOYAM," 1,825.00 ", 5.52 ," 10,066.00 "
CENTRAL,ASSIN NORTH,2000,COCOYAM," 2,783.00 ", 4.32 ," 12,012.00 "
CENTRAL,ABURA-ASEBU-KWAMANKESE,2000,COCOYAM, 618.00 , 4.78 ," 2,952.00 "
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2000,COCOYAM, 499.00 , 5.04 ," 2,515.00 "
CENTRAL,MFANTSIMAN,2000,COCOYAM, 655.00 , 4.16 ," 2,725.00 "
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2000,COCOYAM," 1,173.00 ", 4.09 ," 4,799.00 "
CENTRAL,AJUMAKO-ENYAN-ESIAM,2000,COCOYAM," 2,435.00 ", 3.81 ," 9,285.00 "
CENTRAL,CAPE COAST,2000,COCOYAM, 531.00 , 4.21 ," 2,235.00 "
CENTRAL,AGONA,2000,COCOYAM," 1,732.00 ", 4.76 ," 8,241.00 "
CENTRAL,UPPER DENKYIRA,2000,PLANTAIN," 5,016.00 ", 6.26 ," 31,383.00 "
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2000,PLANTAIN, 362.00 , 7.43 ," 2,691.00 "
CENTRAL,ASSIN NORTH,2000,PLANTAIN," 2,548.00 ", 3.47 ," 8,839.00 "
CENTRAL,ABURA-ASEBU-KWAMANKESE,2000,PLANTAIN, 209.00 , 5.38 ," 1,125.00 "
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2000,PLANTAIN, 227.00 , 7.43 ," 1,686.00 "
CENTRAL,MFANTSIMAN,2000,PLANTAIN, 108.00 , 4.69 , 506.00 
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2000,PLANTAIN, 163.00 , 6.55 ," 1,068.00 "
CENTRAL,AJUMAKO-ENYAN-ESIAM,2000,PLANTAIN, 262.00 , 6.01 ," 1,574.00 "
CENTRAL,AWUTU-EFUTU-SENYA,2000,PLANTAIN, 30.00 , 1.67 , 50.00 
CENTRAL,CAPE COAST,2000,PLANTAIN, 129.00 , 6.54 , 844.00 
CENTRAL,AGONA,2000,PLANTAIN," 1,308.00 ", 6.70 ," 8,761.00 "
VOLTA,KPANDO,2000,COCOYAM, 300.00 , 3.00 , 900.00 
VOLTA,HOHOE MUNICIPAL,2000,COCOYAM, 350.00 , 3.00 ," 1,050.00 "
VOLTA,JASIKAN,2000,COCOYAM," 2,700.00 ", 5.00 ," 13,500.00 "
VOLTA,KADJEBI,2000,COCOYAM," 2,650.00 ", 5.00 ," 13,250.00 "
VOLTA,NKWANTA,2000,COCOYAM, 650.00 , 3.00 ," 1,950.00 "
VOLTA,KETE-KRACHI,2000,COCOYAM, 150.00 , 3.00 , 450.00 
VOLTA,HO MUNICIPAL,2000,COCOYAM, 900.00 , 3.00 ," 2,700.00 "
VOLTA,KPANDO,2000,PLANTAIN, 400.00 , 6.20 ," 2,480.00 "
VOLTA,HOHOE MUNICIPAL,2000,PLANTAIN, 350.00 , 6.20 ," 2,170.00 "
VOLTA,JASIKAN,2000,PLANTAIN," 1,800.00 ", 6.20 ," 11,160.00 "
VOLTA,KADJEBI,2000,PLANTAIN," 2,200.00 ", 6.30 ," 13,860.00 "
VOLTA,NKWANTA,2000,PLANTAIN, 400.00 , 3.10 ," 1,240.00 "
VOLTA,KETE-KRACHI,2000,PLANTAIN, 200.00 , 6.00 ," 1,200.00 "
VOLTA,HO MUNICIPAL,2000,PLANTAIN, 100.00 , 6.00 , 600.00 
VOLTA,NKWANTA,2000,SORGHUM," 1,600.00 ", 1.00 ," 1,600.00 "
VOLTA,KETE-KRACHI,2000,SORGHUM," 3,000.00 ", 1.00 ," 3,000.00 "
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2000,COCOYAM," 12,094.00 ", 5.06 ," 61,142.00 "
ASHANTI,AMANSIE WEST,2000,COCOYAM," 3,524.00 ", 9.40 ," 33,128.00 "
ASHANTI,EJURA SEKYEREDUMASE,2000,COCOYAM, 53.00 , 5.70 , 302.00 
ASHANTI,SEKYERE WEST ,2000,COCOYAM," 3,094.00 ", 9.65 ," 29,846.00 "
ASHANTI,SEKYERE EAST,2000,COCOYAM," 4,692.00 ", 7.57 ," 35,499.00 "
ASHANTI,AFIGYA SEKYERE,2000,COCOYAM," 4,845.00 ", 7.83 ," 37,952.00 "
ASHANTI,AHAFO ANO NORTH,2000,COCOYAM," 2,498.00 ", 10.09 ," 25,195.00 "
ASHANTI,AHAFO ANO SOUTH,2000,COCOYAM," 13,693.00 ", 6.39 ," 87,493.00 "
ASHANTI,ATWIMA,2000,COCOYAM," 15,633.00 ", 6.04 ," 94,433.00 "
ASHANTI,EJUSU JUABEN,2000,COCOYAM," 3,498.00 ", 8.88 ," 31,071.00 "
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2000,COCOYAM," 1,664.00 ", 8.60 ," 14,313.00 "
ASHANTI,KWABRE ,2000,COCOYAM," 3,628.00 ", 7.94 ," 28,821.00 "
ASHANTI,OFFINSO,2000,COCOYAM," 2,552.00 ", 9.08 ," 23,184.00 "
ASHANTI,ADANSI WEST,2000,COCOYAM," 2,472.00 ", 6.57 ," 16,236.00 "
ASHANTI,ADANSI  SOUTH,2000,COCOYAM," 2,814.00 ", 11.00 ," 30,955.00 "
ASHANTI,ASANTE AKIM NORTH,2000,COCOYAM," 1,586.00 ", 11.50 ," 18,233.00 "
ASHANTI,ASANTE AKIM SOUTH,2000,COCOYAM," 12,366.00 ", 5.42 ," 67,053.00 "
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2000,COCOYAM, 227.00 , 9.99 ," 2,268.00 "
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2000,PLANTAIN," 4,916.00 ", 8.86 ," 43,553.00 "
ASHANTI,AMANSIE WEST,2000,PLANTAIN," 4,495.00 ", 8.91 ," 40,049.00 "
ASHANTI,EJURA SEKYEREDUMASE,2000,PLANTAIN, 102.00 , 8.76 , 894.00 
ASHANTI,SEKYERE WEST ,2000,PLANTAIN," 2,212.00 ", 15.38 ," 34,022.00 "
ASHANTI,SEKYERE EAST,2000,PLANTAIN," 2,186.00 ", 13.54 ," 29,596.00 "
ASHANTI,AFIGYA SEKYERE,2000,PLANTAIN," 4,004.00 ", 7.81 ," 31,263.00 "
ASHANTI,AHAFO ANO NORTH,2000,PLANTAIN," 5,263.00 ", 8.92 ," 46,943.00 "
ASHANTI,AHAFO ANO SOUTH,2000,PLANTAIN," 6,627.00 ", 8.30 ," 54,995.00 "
ASHANTI,ATWIMA,2000,PLANTAIN," 10,036.00 ", 9.89 ," 99,304.00 "
ASHANTI,EJUSU JUABEN,2000,PLANTAIN," 1,835.00 ", 10.11 ," 18,543.00 "
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2000,PLANTAIN," 1,943.00 ", 7.48 ," 14,534.00 "
ASHANTI,KWABRE ,2000,PLANTAIN," 1,675.00 ", 10.83 ," 18,141.00 "
ASHANTI,OFFINSO,2000,PLANTAIN," 4,412.00 ", 10.73 ," 47,355.00 "
ASHANTI,ADANSI WEST,2000,PLANTAIN," 1,596.00 ", 4.82 ," 7,700.00 "
ASHANTI,ADANSI  SOUTH,2000,PLANTAIN," 2,905.00 ", 6.58 ," 19,120.00 "
ASHANTI,ASANTE AKIM NORTH,2000,PLANTAIN," 1,496.00 ", 5.88 ," 8,801.00 "
ASHANTI,ASANTE AKIM SOUTH,2000,PLANTAIN," 6,924.00 ", 8.80 ," 60,905.00 "
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2000,PLANTAIN," 1,083.00 ", 7.80 ," 8,447.40 "
EASTERN,BIRIM SOUTH,2000,COCOYAM," 8,600.00 ", 6.50 ," 55,900.00 "
EASTERN,WEST AKIM,2000,COCOYAM," 9,100.00 ", 6.80 ," 61,880.00 "
EASTERN,SUHUM KRABOA COALTAR,2000,COCOYAM," 2,500.00 ", 6.40 ," 16,000.00 "
EASTERN,AKUAPIM SOUTH,2000,COCOYAM," 1,200.00 ", 5.70 ," 6,840.00 "
EASTERN,AKUAPIM NORTH,2000,COCOYAM," 1,500.00 ", 6.20 ," 9,300.00 "
EASTERN,NEW JUABEN,2000,COCOYAM, 900.00 , 6.20 ," 5,580.00 "
EASTERN,YILO KROBO,2000,COCOYAM," 1,200.00 ", 6.20 ," 7,440.00 "
EASTERN,EAST AKIM,2000,COCOYAM," 7,200.00 ", 7.00 ," 50,400.00 "
EASTERN,KWAEBIBIREM,2000,COCOYAM," 6,000.00 ", 7.40 ," 44,400.00 "
EASTERN,BIRIM NORTH,2000,COCOYAM," 3,200.00 ", 6.30 ," 20,160.00 "
EASTERN,KWAHU SOUTH,2000,COCOYAM," 2,100.00 ", 6.10 ," 12,810.00 "
EASTERN,FANTEAKWA,2000,COCOYAM," 9,800.00 ", 7.50 ," 73,500.00 "
EASTERN,KWAHU NORTH,2000,COCOYAM, 600.00 , 6.40 ," 3,840.00 "
EASTERN,ASUOGYAMAN,2000,COCOYAM, 500.00 , 6.00 ," 3,000.00 "
EASTERN,MANYA KROBO,2000,COCOYAM, 600.00 , 7.20 ," 4,320.00 "
EASTERN,BIRIM SOUTH,2000,PLANTAIN," 10,210.00 ", 7.80 ," 79,638.00 "
EASTERN,WEST AKIM,2000,PLANTAIN," 7,120.00 ", 7.70 ," 54,824.00 "
EASTERN,SUHUM KRABOA COALTAR,2000,PLANTAIN," 9,000.00 ", 8.40 ," 75,600.00 "
EASTERN,AKUAPIM SOUTH,2000,PLANTAIN," 2,100.00 ", 8.00 ," 16,800.00 "
EASTERN,AKUAPIM NORTH,2000,PLANTAIN," 1,500.00 ", 8.20 ," 12,300.00 "
EASTERN,NEW JUABEN,2000,PLANTAIN," 1,100.00 ", 7.80 ," 8,580.00 "
EASTERN,YILO KROBO,2000,PLANTAIN, 800.00 , 7.30 ," 5,840.00 "
EASTERN,EAST AKIM,2000,PLANTAIN," 9,000.00 ", 7.30 ," 65,700.00 "
EASTERN,KWAEBIBIREM,2000,PLANTAIN," 6,100.00 ", 7.90 ," 48,190.00 "
EASTERN,BIRIM NORTH,2000,PLANTAIN," 5,900.00 ", 8.50 ," 50,150.00 "
EASTERN,KWAHU SOUTH,2000,PLANTAIN," 5,370.00 ", 7.60 ," 40,812.00 "
EASTERN,FANTEAKWA,2000,PLANTAIN," 10,200.00 ", 8.50 ," 86,660.00 "
EASTERN,KWAHU NORTH,2000,PLANTAIN, 400.00 , 7.30 ," 2,920.00 "
EASTERN,ASUOGYAMAN,2000,PLANTAIN, 800.00 , 7.30 ," 5,840.00 "
EASTERN,MANYA KROBO,2000,PLANTAIN, 400.00 , 7.30 ," 2,920.00 "
GREATER ACCRA,TEMA METROPOLITAN ASSEMBLY,2000,GROUNDNUT, 9.00 , 2.89 , 26.00 
GREATER ACCRA,GA,2000,GROUNDNUT, 248.00 , 2.90 , 719.00 
GREATER ACCRA,DANGBE WEST,2000,GROUNDNUT, 59.00 , 2.90 , 171.00 
BRONG AHAFO, SUNYANI MUNICIPAL ,2000,COCOYAM," 1,453.00 ", 5.60 ," 8,138.00 "
BRONG AHAFO,ASUTIFI,2000,COCOYAM," 8,542.00 ", 7.79 ," 66,501.00 "
BRONG AHAFO, WENCHI MUNICIPAL ,2000,COCOYAM," 1,908.00 ", 6.20 ," 11,838.00 "
BRONG AHAFO,DORMA AHENKRO,2000,COCOYAM," 3,822.00 ", 4.10 ," 15,670.00 "
BRONG AHAFO,BEREKUM,2000,COCOYAM," 3,586.00 ", 5.70 ," 20,438.00 "
BRONG AHAFO,TANO,2000,COCOYAM," 3,675.00 ", 6.70 ," 24,623.00 "
BRONG AHAFO,NKORANZA,2000,COCOYAM, 536.00 , 4.00 ," 2,142.00 "
BRONG AHAFO,TECHIMAN MUNICIPAL,2000,COCOYAM," 2,783.00 ", 6.30 ," 17,530.00 "
